half_min_interval,num_trips
2,125191
3,213878
4,371770
5,546105
6,708512
7,854414
8,970393
9,1057966
10,1118032
11,1148664
12,1161482
13,1154412
14,1139003
15,1109561
16,1073853
17,1027150
18,979898
19,930299
20,883244
21,835463
22,790573
23,746453
24,704727
25,665676
26,628827
27,594282
28,560976
29,531593
30,502572
31,475818
32,453264
33,430228
34,409397
35,389263
36,372088
37,356142
38,340531
39,326860
40,313756
41,299950
42,288458
43,276512
44,264438
45,253735
46,243424
47,233931
48,223953
49,213994
50,203767
51,194684
52,187237
53,177692
54,169826
55,160227
56,151323
57,143539
58,136014
59,126950
60,119511
61,111840
62,105565
63,98849
64,93156
65,88504
66,83000
67,77955
68,73487
69,68767
70,65396
71,61469
72,58145
73,54944
74,51435
75,48618
76,45640
77,42773
78,40506
79,38078
80,36014
81,33516
82,31641
83,29635
84,27823
85,25970
86,24412
87,22749
88,21314
89,19401
90,18297
91,16882
92,15721
93,14833
94,14077
95,13524
96,12510
97,12017
98,11762
99,11005
100,10628
101,10085
102,9723
103,9332
104,8936
105,8666
106,8300
107,8021
108,7942
109,7468
110,7243
111,7146
112,6731
113,6693
114,6551
115,6422
116,5921
117,5858
118,5682
119,5413
120,5205
121,5074
122,5056
123,4918
124,4692
125,4412
126,4395
127,4264
128,4101
129,4020
130,3947
131,3857
132,3692
133,3597
134,3636
135,3473
136,3383
137,3430
138,3223
139,3139
140,3251
141,3107
142,3015
143,2967
144,2897
145,2841
146,2856
147,2743
148,2659
149,2692
150,2544
151,2594
152,2448
153,2430
154,2453
155,2399
156,2337
157,2316
158,2300
159,2183
160,2201
161,2228
162,2146
163,2013
164,2019
165,2052
166,1986
167,1974
168,1871
169,1937
170,1931
171,1787
172,1827
173,1767
174,1732
175,1656
176,1729
177,1717
178,1631
179,1672
180,1573
181,1570
182,1528
183,1512
184,1420
185,1440
186,1444
187,1423
188,1413
189,1413
190,1388
191,1393
192,1293
193,1321
194,1287
195,1348
196,1247
197,1272
198,1273
199,1231
200,1258
201,1228